year,no_arctic_tas,world_tas,arctic_tas,Model,Experiment,Ensemble_member
2015,289.3750981703862,288.2852499550768,264.21898652786695,CESM2,ssp245,r4i1p1f1
2016,289.3200905556536,288.20164630751884,263.50391911381325,CESM2,ssp245,r4i1p1f1
2017,289.2381069388151,288.1409784791055,263.9139511243281,CESM2,ssp245,r4i1p1f1
2018,289.38538048198274,288.2370352670415,262.87902847312796,CESM2,ssp245,r4i1p1f1
2019,289.44973872443705,288.3180951179345,263.3288968449666,CESM2,ssp245,r4i1p1f1
2020,289.31002358749373,288.16784416338555,262.94599169292866,CESM2,ssp245,r4i1p1f1
2021,289.3381459996138,288.17657834196496,262.526590715417,CESM2,ssp245,r4i1p1f1
2022,289.5071707259659,288.39250038443663,263.7781094106216,CESM2,ssp245,r4i1p1f1
2023,289.6538362207301,288.5500762526815,264.1766105000004,CESM2,ssp245,r4i1p1f1
2024,289.7075521992142,288.6135706288956,264.45603356459617,CESM2,ssp245,r4i1p1f1
2025,289.5054951890261,288.4214920925358,264.48430184018537,CESM2,ssp245,r4i1p1f1
2026,289.45828218664894,288.35259113174084,263.9364827023918,CESM2,ssp245,r4i1p1f1
2027,289.71570203381845,288.6187523646358,264.3956731008482,CESM2,ssp245,r4i1p1f1
2028,289.8484750943745,288.7899416135066,265.4151769084441,CESM2,ssp245,r4i1p1f1
2029,289.8489642714332,288.7883167758199,265.36686994105344,CESM2,ssp245,r4i1p1f1
2030,289.89363905984976,288.8151798898624,265.00041181866186,CESM2,ssp245,r4i1p1f1
2031,289.7477985732402,288.6841127330635,265.19557251811943,CESM2,ssp245,r4i1p1f1
2032,289.6578171847246,288.5647639653189,264.42772694617236,CESM2,ssp245,r4i1p1f1
2033,289.9582638174587,288.8927907090505,265.3647836514075,CESM2,ssp245,r4i1p1f1
2034,290.0315374374276,288.9547023464922,265.17579753931886,CESM2,ssp245,r4i1p1f1
2035,289.90877703903567,288.846908798585,265.39850521294,CESM2,ssp245,r4i1p1f1
2036,290.0333773505864,288.976527186482,265.6389338453745,CESM2,ssp245,r4i1p1f1
2037,290.05125020373816,288.98006592239636,265.32594351183985,CESM2,ssp245,r4i1p1f1
2038,290.0328839366923,289.00017766655196,266.1957350010474,CESM2,ssp245,r4i1p1f1
2039,289.873995945314,288.8164850937368,265.4643023093099,CESM2,ssp245,r4i1p1f1
2040,290.08742072601467,289.0135891949491,265.30100964484285,CESM2,ssp245,r4i1p1f1
2041,290.2135368046023,289.1413480516144,265.46504468145065,CESM2,ssp245,r4i1p1f1
2042,290.0960996348048,288.97801990739845,264.2883421390674,CESM2,ssp245,r4i1p1f1
2043,290.18185752863633,289.10638678093125,265.35760969532964,CESM2,ssp245,r4i1p1f1
2044,290.3863651604064,289.30064324336604,265.3254976247888,CESM2,ssp245,r4i1p1f1
2045,290.34225179684216,289.28084671970595,265.84267080629974,CESM2,ssp245,r4i1p1f1
2046,290.4169743235626,289.3599514995672,266.0185454454956,CESM2,ssp245,r4i1p1f1
2047,290.3040422374818,289.2365834598315,265.6647284255736,CESM2,ssp245,r4i1p1f1
2048,290.29319803569626,289.26450822703464,266.5487579304632,CESM2,ssp245,r4i1p1f1
2049,290.48951021753123,289.47016674743827,266.96080431562797,CESM2,ssp245,r4i1p1f1
2050,290.43570677021063,289.38858750235505,266.2658739116694,CESM2,ssp245,r4i1p1f1
2051,290.5710315183289,289.51681507096225,266.23738003108747,CESM2,ssp245,r4i1p1f1
2052,290.6269576171007,289.5389749898293,265.51390788018404,CESM2,ssp245,r4i1p1f1
2053,290.5080971399576,289.4380651903607,265.80938881801126,CESM2,ssp245,r4i1p1f1
2054,290.44740247385926,289.4109684190892,266.52420800911455,CESM2,ssp245,r4i1p1f1
2055,290.25775955837344,289.19789750942596,265.79379507739594,CESM2,ssp245,r4i1p1f1
2056,290.40636885837597,289.32051766105855,265.3425172475147,CESM2,ssp245,r4i1p1f1
2057,290.4983089176027,289.4313058233885,265.8695132890832,CESM2,ssp245,r4i1p1f1
2058,290.4737513923398,289.41390844820097,266.0102278926757,CESM2,ssp245,r4i1p1f1
2059,290.6334836825053,289.5576781626792,265.80150856687237,CESM2,ssp245,r4i1p1f1
2060,290.4582316586711,289.3542816461772,264.97661929105465,CESM2,ssp245,r4i1p1f1
2061,290.6945373059037,289.64652780562864,266.5041559105875,CESM2,ssp245,r4i1p1f1
2062,290.8937620103242,289.84932779071335,266.7859060146722,CESM2,ssp245,r4i1p1f1
2063,290.75358895696394,289.69200550213975,266.2498906141385,CESM2,ssp245,r4i1p1f1
2064,290.90259556064126,289.8139876817411,265.77511363072614,CESM2,ssp245,r4i1p1f1
2065,290.7725594687688,289.6854864932487,265.68050650982826,CESM2,ssp245,r4i1p1f1
2066,290.7680253792279,289.7379138012489,266.9907676878626,CESM2,ssp245,r4i1p1f1
2067,290.94568465334663,289.9029605936694,266.8773029382538,CESM2,ssp245,r4i1p1f1
2068,290.94990903424673,289.9187469458646,267.14840323510225,CESM2,ssp245,r4i1p1f1
2069,290.8172337607194,289.78334173793723,266.9527150267676,CESM2,ssp245,r4i1p1f1
2070,291.0091717250636,289.9173358000235,265.80717933769074,CESM2,ssp245,r4i1p1f1
2071,291.03408528350843,289.9801082051711,266.7059589638451,CESM2,ssp245,r4i1p1f1
2072,291.0589379007727,290.0062942524163,266.7615900996212,CESM2,ssp245,r4i1p1f1
2073,291.1018145068332,290.03232198648357,266.41555740715614,CESM2,ssp245,r4i1p1f1
2074,291.12720788795224,290.08771430009455,267.13339262037795,CESM2,ssp245,r4i1p1f1
2075,290.9609235148087,289.88960421812993,266.23250036976935,CESM2,ssp245,r4i1p1f1
2076,291.24310904632495,290.1675166611155,266.41605354989883,CESM2,ssp245,r4i1p1f1
2077,291.2950250352573,290.21860245945027,266.4488069003404,CESM2,ssp245,r4i1p1f1
2078,291.09161376795424,290.0127639728446,266.18937003341546,CESM2,ssp245,r4i1p1f1
2079,291.2629358702835,290.1827684260866,266.33027787523105,CESM2,ssp245,r4i1p1f1
2080,291.3381787910199,290.25011280560705,266.223204963497,CESM2,ssp245,r4i1p1f1
2081,291.145554386817,290.06384608818075,266.1773300571541,CESM2,ssp245,r4i1p1f1
2082,291.3516732044109,290.28674829366764,266.7708466551403,CESM2,ssp245,r4i1p1f1
2083,291.21527130083786,290.16651521280045,267.00765700571776,CESM2,ssp245,r4i1p1f1
2084,291.1973869686462,290.14070503849854,266.8068266759194,CESM2,ssp245,r4i1p1f1
2085,291.37222412638437,290.331708453173,267.3548168641617,CESM2,ssp245,r4i1p1f1
2086,291.43059318591077,290.3939030333854,267.501487417521,CESM2,ssp245,r4i1p1f1
2087,291.4872657047867,290.42659552156874,267.0046476942172,CESM2,ssp245,r4i1p1f1
2088,291.4800178619722,290.4346083398009,267.3496497222004,CESM2,ssp245,r4i1p1f1
2089,291.4031205788723,290.35892333622866,267.3007345367099,CESM2,ssp245,r4i1p1f1
2090,291.39615384191893,290.355785665004,267.3821511210355,CESM2,ssp245,r4i1p1f1
2091,291.57965612800706,290.5383459447261,267.5439098129377,CESM2,ssp245,r4i1p1f1
2092,291.5059291132878,290.47231762048875,267.64788563293274,CESM2,ssp245,r4i1p1f1
2093,291.55096075734025,290.50264896855373,267.3536018733801,CESM2,ssp245,r4i1p1f1
2094,291.47990896369976,290.4188842068585,266.98910660825993,CESM2,ssp245,r4i1p1f1
2095,291.582086784024,290.52912802723745,267.27746558210015,CESM2,ssp245,r4i1p1f1
2096,291.43834329819737,290.3872052866897,267.1757489316311,CESM2,ssp245,r4i1p1f1
2097,291.6199893504882,290.5676412791142,267.3294641210128,CESM2,ssp245,r4i1p1f1
2098,291.55503720075683,290.522152968203,267.7137804982883,CESM2,ssp245,r4i1p1f1
2099,291.500571907664,290.4418029083061,267.06183743313994,CESM2,ssp245,r4i1p1f1
2100,291.78924311947384,290.725630346705,267.2387036220252,CESM2,ssp245,r4i1p1f1
